17:45:07.919550 config: drop-rate=0.00, max-delay=0s, seed=1543272307919550300
17:46:44.777336 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:45.778310 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:46.778781 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:47.779260 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:48.779733 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:49.780204 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:50.780690 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:51.781158 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:52.781625 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:53.782098 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:54.782625 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:55.783086 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:56.783571 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:57.784033 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:58.785498 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:59.786044 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:00.786511 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:01.787081 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:02.787546 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:03.788009 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:04.788480 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:05.790458 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:06.790924 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:07.791466 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:08.791949 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:09.792413 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:10.792878 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:11.793354 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:12.793834 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:13.794317 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:14.794844 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:15.795306 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:16.795843 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:17.796307 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:18.796769 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:47:19.797231 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
